"2017-10-09 19:09:39 [main] INFO  p.k.m.ModernDockerizedLibraryApplication - Starting ModernDockerizedLibraryApplication on konrad-Lenovo-IdeaPad-Z510 with PID 11317 (/home/konrad/Develop/Projects/ModernDockerizedLibrary/target/classes started by konrad in /home/konrad/Develop/Projects/ModernDockerizedLibrary)
""2017-10-09 19:09:39 [main] INFO  p.k.m.ModernDockerizedLibraryApplication - No active profile set, falling back to default profiles: default
""2017-10-09 19:09:40 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6b58b9e9: startup date [Mon Oct 09 19:09:40 CEST 2017]; root of context hierarchy
""2017-10-09 19:09:42 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
""2017-10-09 19:09:42 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2017-10-09 19:09:42 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.16
""2017-10-09 19:09:42 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2017-10-09 19:09:42 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2017-10-09 19:09:42 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2017-10-09 19:09:42 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2017-10-09 19:09:42 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
